Row ID,Order ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Day-of-the-month,Week,Month,Quarter,Year,Process Time Difference
78,454,Low,0.09,6.08,1.82,898,Harriet Hodges,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,Staples Bulk Pack Metal Binder Clips,0.35,East,New York,New York City,10039,12/26/2012,12/28/2012,56.22,84,468.4,26,52,12,4,2012,2 days 0 hrs 0 mins 
87,548,Critical,0.04,3.08,0.99,3106,Alexander O'Brien,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 481,0.37,Central,Texas,Houston,77041,9/20/2010,9/21/2010,36.02,75,236.87,20,39,9,3,2010,1 days 0 hrs 0 mins 
88,548,Critical,0.02,6.48,5.9,3106,Alexander O'Brien,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1976,0.37,Central,Texas,Houston,77041,9/20/2010,9/21/2010,-50.64,53,370.91,20,39,9,3,2010,1 days 0 hrs 0 mins 
89,548,Critical,0.04,125.99,4.2,3106,Alexander O'Brien,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,V3682,0.59,Central,Texas,Houston,77041,9/20/2010,9/22/2010,510.489,47,4976.92,20,39,9,3,2010,2 days 0 hrs 0 mins 
95,612,Medium,0.1,5.28,6.26,3011,Tammy Raynor,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1928,0.4,East,Massachusetts,Boston,2113,10/20/2013,10/22/2013,-166.29,105,552.03,20,43,10,4,2013,2 days 0 hrs 0 mins 
96,612,Medium,0.01,65.99,2.5,3011,Tammy Raynor,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,6190,0.55,East,Massachusetts,Boston,2113,10/20/2013,10/22/2013,881.676,90,5297.63,20,43,10,4,2013,2 days 0 hrs 0 mins 
97,613,High,0.03,7.3,7.72,563,Marjorie Pope,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,"Angle-D Binders with Locking Rings, Label Holders",0.38,Central,Texas,Dallas,75081,6/17/2012,6/17/2012,-54.0385,20,155.9,17,25,6,2,2012,0 days 0 hrs 0 mins 
98,613,High,0.09,42.76,6.22,563,Marjorie Pope,Regular Air,Corporate,Office Supplies,Storage & Organization,Small Box,"SAFCO Mobile Desk Side File, Wire Frame",0.59,Central,Texas,Dallas,75081,6/17/2012,6/18/2012,127.7,36,1481.04,17,25,6,2,2012,1 days 0 hrs 0 mins 
106,646,High,0.01,9.31,3.98,1106,Maxine Collier Grady,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,Acme® Forged Steel Scissors with Black Enamel Handles,0.56,Central,Texas,Dallas,75220,11/21/2010,11/22/2010,-10.9,61,586.96,21,48,11,4,2010,1 days 0 hrs 0 mins 
112,738,Not Specified,0.04,80.98,4.5,607,Clara Hauser,Regular Air,Corporate,Office Supplies,Appliances,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,0.59,East,New York,New York City,10177,3/1/2011,3/3/2011,32.6,7,560.51,1,10,3,1,2011,2 days 0 hrs 0 mins 
113,738,Not Specified,0.08,6.48,5.14,607,Clara Hauser,Regular Air,Corporate,Office Supplies,Paper,Small Box,Xerox 23,0.37,East,New York,New York City,10177,3/1/2011,3/2/2011,-56.68,31,189.95,1,10,3,1,2011,1 days 0 hrs 0 mins 
119,773,Medium,0.06,65.99,8.99,1488,Anthony Goodwin,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,Talkabout T8367,0.56,East,New York,New York City,10045,9/25/2011,9/26/2011,324.927,69,3761.12,25,40,9,3,2011,1 days 0 hrs 0 mins 
132,835,Not Specified,0.02,6.48,5.14,1106,Maxine Collier Grady,Regular Air,Small Business,Office Supplies,Paper,Small Box,Xerox 23,0.37,Central,Texas,Dallas,75220,10/7/2012,10/8/2012,-28.176,35,243.37,7,41,10,4,2012,1 days 0 hrs 0 mins 
151,962,Low,0.06,122.99,19.99,2382,Geoffrey Saunders,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,GBC Therma-A-Bind 250T Electric Binding System,0.37,East,New York,New York City,10024,5/5/2010,5/7/2010,1408.1865,48,5911.35,5,19,5,2,2010,2 days 0 hrs 0 mins 
152,962,Low,0.08,68.81,60,2382,Geoffrey Saunders,Delivery Truck,Small Business,Office Supplies,Appliances,Jumbo Drum,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",0.41,East,New York,New York City,10024,5/5/2010,5/7/2010,-1069.72,68,4649.85,5,19,5,2,2010,2 days 0 hrs 0 mins 
188,1222,Medium,0.08,5.28,5.57,2491,Sean N Boyer,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1981,0.4,West,California,Los Angeles,90045,2/4/2011,2/4/2011,-121.91,48,257.39,4,6,2,1,2011,0 days 0 hrs 0 mins 
224,1447,High,0.07,65.99,8.99,308,Glen Caldwell,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,SC-3160,0.59,West,Washington,Seattle,98115,10/14/2013,10/17/2013,239.4,84,4485.54,14,42,10,4,2013,3 days 0 hrs 0 mins 
227,1537,Not Specified,0.07,2.16,6.05,1413,Pamela Wiley,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Peel & Stick Add-On Corner Pockets,0.37,East,Massachusetts,Boston,2113,2/14/2013,2/14/2013,-20.2975,5,16.6,14,7,2,1,2013,0 days 0 hrs 0 mins 
257,1793,Not Specified,0.03,6.28,5.36,1745,Herbert Holden,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,GBC Standard Plastic Binding Systems' Combs,0.4,South,Georgia,Atlanta,30305,7/11/2013,7/11/2013,-95.62434,50,324.21,11,28,7,3,2013,0 days 0 hrs 0 mins 
265,1829,High,0.07,2.78,1.49,3251,Peter Brooks,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Wilson Jones Suede Grain Vinyl Binders,0.36,East,New York,New York City,10112,5/7/2013,5/8/2013,6.732,62,171.84,7,19,5,2,2013,1 days 0 hrs 0 mins 
267,1856,Not Specified,0.08,60.98,49,94,Eddie House Mueller,Regular Air,Home Office,Office Supplies,Appliances,Large Box,Euro Pro Shark Stick Mini Vacuum,0.59,Central,Illinois,Chicago,60601,3/19/2013,3/21/2013,-712.14,24,1449.3,19,12,3,1,2013,2 days 0 hrs 0 mins 
268,1856,Not Specified,0.05,125.99,8.08,94,Eddie House Mueller,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,M3682,0.57,Central,Illinois,Chicago,60601,3/19/2013,3/20/2013,973.161,43,4374.69,19,12,3,1,2013,1 days 0 hrs 0 mins 
269,1856,Not Specified,0.1,125.99,8.8,94,Eddie House Mueller,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,StarTAC 6500,0.59,Central,Illinois,Chicago,60601,3/19/2013,3/20/2013,676.125,44,4283.24,19,12,3,1,2013,1 days 0 hrs 0 mins 
316,2209,High,0,320.98,58.95,2645,Ronnie Dodson,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,0.57,West,Washington,Seattle,98103,7/9/2013,7/11/2013,2245.24,38,13255.99,9,28,7,3,2013,2 days 0 hrs 0 mins 
317,2209,High,0.02,4.76,0.88,2645,Ronnie Dodson,Regular Air,Consumer,Office Supplies,Paper,Wrap Bag,Wirebound Voice Message Log Book,0.39,West,Washington,Seattle,98103,7/9/2013,7/10/2013,-1.82,1,5.68,9,28,7,3,2013,1 days 0 hrs 0 mins 
318,2209,High,0.08,4.28,0.94,2645,Ronnie Dodson,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 336,0.56,West,Washington,Seattle,98103,7/9/2013,7/9/2013,25.88,59,245.26,9,28,7,3,2013,0 days 0 hrs 0 mins 
319,2209,High,0.1,125.99,3,2645,Ronnie Dodson,Regular Air,Consumer,Technology,Telephones and Communication,Small Box,270c,0.59,West,Washington,Seattle,98103,7/9/2013,7/10/2013,-161.117,18,1752.23,9,28,7,3,2013,1 days 0 hrs 0 mins 
340,2309,Low,0.05,3.8,1.49,1193,Louis Parrish,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Durable Pressboard Binders,0.38,East,District of Columbia,Washington,20016,9/3/2012,9/5/2012,-1.2995,14,54.02,3,36,9,3,2012,2 days 0 hrs 0 mins 
341,2311,High,0.01,40.89,18.98,1314,Keith Marsh,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,Eldon Executive Woodline II Cherry Finish Desk Accessories,0.57,West,California,Los Angeles,90058,5/1/2012,5/2/2012,94.96,49,2092.92,1,18,5,2,2012,1 days 0 hrs 0 mins 
344,2368,Critical,0.08,14.81,13.32,2882,Andrew Gonzalez,Regular Air,Consumer,Office Supplies,Appliances,Small Box,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",0.43,South,North Carolina,Charlotte,28206,8/19/2011,8/21/2011,-305.4611,65,918.54,19,34,8,3,2011,2 days 0 hrs 0 mins 
349,2433,Not Specified,0.07,2036.48,14.7,553,Kristine Connolly,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,0.55,West,California,Los Angeles,90008,8/21/2010,8/21/2010,4073.25,25,43046.2,21,34,8,3,2010,0 days 0 hrs 0 mins 
355,2467,Not Specified,0.09,145.45,17.85,607,Clara Hauser,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,0.56,East,New York,New York City,10177,7/15/2012,7/16/2012,586.61,41,5668.21,15,29,7,3,2012,1 days 0 hrs 0 mins 
356,2497,Critical,0.06,205.99,5.26,2303,Joe Baldwin,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,i470,0.56,East,New York,New York City,10011,8/26/2013,8/28/2013,636.03,42,7258.24,26,35,8,3,2013,2 days 0 hrs 0 mins 
370,2563,Not Specified,0.04,2.61,0.5,478,Michael Wiggins,Regular Air,Small Business,Office Supplies,Labels,Small Box,Avery 494,0.39,East,New York,New York City,10177,11/18/2011,11/19/2011,8.34,41,108.55,18,47,11,4,2011,1 days 0 hrs 0 mins 
371,2563,Not Specified,0.01,5.98,0.96,478,Michael Wiggins,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 315,0.6,East,New York,New York City,10177,11/18/2011,11/19/2011,46.01,112,706.11,18,47,11,4,2011,1 days 0 hrs 0 mins 
407,2757,High,0.05,12.98,3.14,2107,Leigh Burnette Hurley,Express Air,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,"Acme® 8"" Straight Scissors",0.6,Central,Illinois,Chicago,60601,7/19/2012,7/20/2012,84.38,57,772.65,19,29,7,3,2012,1 days 0 hrs 0 mins 
408,2759,Not Specified,0,30.98,6.5,478,Michael Wiggins,Regular Air,Small Business,Technology,Computer Peripherals,Small Box,Belkin ErgoBoard™ Keyboard,0.64,East,New York,New York City,10177,11/24/2011,11/26/2011,45.37,85,2813.4,24,48,11,4,2011,2 days 0 hrs 0 mins 
439,2947,Critical,0.05,6.48,6.81,2645,Ronnie Dodson,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 1930,0.36,West,Washington,Seattle,98103,4/25/2012,4/27/2012,-29.06,9,64.17,25,17,4,2,2012,2 days 0 hrs 0 mins 
441,2978,Critical,0.01,205.99,19.99,68,Scott Bunn,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,iDEN i550,0.6,East,New York,New York City,10177,5/2/2012,5/3/2012,1312.038,53,9764.76,2,18,5,2,2012,1 days 0 hrs 0 mins 
442,2978,Critical,0.09,162.93,19.99,68,Scott Bunn,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,Multimedia Mailers,0.39,East,New York,New York City,10177,5/2/2012,5/4/2012,2077.91,57,8567.34,2,18,5,2,2012,2 days 0 hrs 0 mins 
443,2978,Critical,0.07,200.99,4.2,68,Scott Bunn,Regular Air,Corporate,Technology,Telephones and Communication,Small Box,2160i,0.59,East,New York,New York City,10177,5/2/2012,5/3/2012,947.313,44,7340.38,2,18,5,2,2012,1 days 0 hrs 0 mins 
444,3008,Medium,0.01,162.93,19.99,640,Neal Wolfe,Regular Air,Consumer,Office Supplies,Envelopes,Small Box,Multimedia Mailers,0.39,West,Washington,Seattle,98119,11/7/2012,11/8/2012,3081.02,139,23161.2,7,45,11,4,2012,1 days 0 hrs 0 mins 
448,3042,Medium,0.1,4.26,1.2,699,Jenny Gold,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",0.44,West,California,Los Angeles,90041,11/20/2010,11/21/2010,15.42,88,351.56,20,47,11,4,2010,1 days 0 hrs 0 mins 
461,3136,Not Specified,0.1,30.98,8.99,2618,Amy Hamrick Melvin,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,"Boston School Pro Electric Pencil Sharpener, 1670",0.58,East,New York,New York City,10004,8/9/2013,8/11/2013,-38.89,16,477.48,9,32,8,3,2013,2 days 0 hrs 0 mins 
462,3138,Not Specified,0.07,179.99,19.99,471,Ross Simpson,Express Air,Consumer,Technology,Computer Peripherals,Small Box,Motorola SB4200 Cable Modem,0.48,South,Georgia,Atlanta,30318,2/8/2010,2/8/2010,-568.5351,4,718.03,8,7,2,1,2010,0 days 0 hrs 0 mins 
473,3266,Low,0.03,3.8,1.49,1129,Pam Patton,Regular Air,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,Durable Pressboard Binders,0.38,East,Massachusetts,Boston,2118,3/16/2012,3/20/2012,-2.553,4,17.12,16,11,3,1,2012,4 days 0 hrs 0 mins 
474,3271,Critical,0.07,264.98,17.86,1745,Herbert Holden,Delivery Truck,Home Office,Technology,Office Machines,Jumbo Drum,Panasonic KX-P1131 Dot Matrix Printer,0.58,South,Georgia,Atlanta,30305,12/31/2012,12/31/2012,1844.7713,90,23065.98,31,53,12,4,2012,0 days 0 hrs 0 mins 
475,3271,Critical,0.06,8.34,1.43,1745,Herbert Holden,Express Air,Home Office,Office Supplies,Paper,Wrap Bag,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",0.35,South,Georgia,Atlanta,30305,12/31/2012,1/1/2013,34.2638,36,292.2,31,53,12,4,2012,1 days 0 hrs 0 mins 
480,3332,Critical,0.01,3.26,1.86,342,Jacqueline Noble,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",0.41,South,Florida,Miami,33181,11/4/2010,11/6/2010,-4.6683,20,73.97,4,45,11,4,2010,2 days 0 hrs 0 mins 
494,3397,Medium,0.1,19.98,4,102,Caroline Johnston,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,Belkin 105-Key Black Keyboard,0.68,East,Massachusetts,Boston,2129,6/22/2010,6/24/2010,-20.25,65,1233.32,22,26,6,2,2010,2 days 0 hrs 0 mins 
495,3397,Medium,0.09,2.88,1.49,102,Caroline Johnston,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,Avery Durable Binders,0.36,East,Massachusetts,Boston,2129,6/22/2010,6/23/2010,-3.381,17,47.31,22,26,6,2,2010,1 days 0 hrs 0 mins 
500,3460,High,0.08,5.98,4.69,3079,Andrew Levine,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",0.68,East,Pennsylvania,Philadelphia,19112,10/2/2012,10/4/2012,-114.18,53,300.78,2,40,10,4,2012,2 days 0 hrs 0 mins 
513,3524,High,0,18.97,9.03,2498,Arlene Long,Regular Air,Small Business,Office Supplies,Paper,Small Box,Computer Printout Paper with Letter-Trim Perforations,0.37,West,California,San Diego,92024,5/2/2013,5/3/2013,52.35,27,549.41,2,18,5,2,2013,1 days 0 hrs 0 mins 
521,3585,High,0.07,10.06,2.06,181,Wesley Waller,Regular Air,Corporate,Office Supplies,Paper,Wrap Bag,Riverleaf Stik-Withit® Designer Note Cubes®,0.39,West,California,San Francisco,94122,11/22/2013,11/22/2013,78.05,97,933.07,22,47,11,4,2013,0 days 0 hrs 0 mins 
522,3585,High,0.07,1.68,1.57,181,Wesley Waller,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 323,0.59,West,California,San Francisco,94122,11/22/2010,11/23/2010,-35.75,116,186.59,22,48,11,4,2010,1 days 0 hrs 0 mins 
532,3621,Medium,0.06,5.58,5.3,1193,Louis Parrish,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,0.35,East,District of Columbia,Washington,20016,5/5/2013,5/6/2013,-28.83,18,107.83,5,19,5,2,2013,1 days 0 hrs 0 mins 
548,3685,Medium,0,3.28,5,2382,Geoffrey Saunders,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 35,0.56,East,New York,New York City,10024,1/16/2013,1/17/2013,-156.88,32,117.83,16,3,1,1,2013,1 days 0 hrs 0 mins 
566,3841,Not Specified,0.02,60.98,49,1733,Nina Horne Kelly,Regular Air,Small Business,Office Supplies,Appliances,Large Box,Euro Pro Shark Stick Mini Vacuum,0.59,East,District of Columbia,Washington,20012,10/4/2010,10/6/2010,-662.52,34,2119.54,4,41,10,4,2010,2 days 0 hrs 0 mins 
567,3841,Not Specified,0.02,1270.99,19.99,1733,Nina Horne Kelly,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,0.35,East,District of Columbia,Washington,20012,10/4/2010,10/6/2010,9228.2256,36,45737.33,4,41,10,4,2010,2 days 0 hrs 0 mins 
568,3841,Not Specified,0.05,205.99,8.99,1733,Nina Horne Kelly,Express Air,Small Business,Technology,Telephones and Communication,Small Box,StarTAC 8000,0.6,East,District of Columbia,Washington,20012,10/4/2013,10/6/2013,1680.228,90,15296.41,4,40,10,4,2013,2 days 0 hrs 0 mins 
573,3905,Not Specified,0.03,60.89,32.41,2403,Kara Gregory,Delivery Truck,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,"Global Push Button Manager's Chair, Indigo",0.56,Central,Illinois,Chicago,60699,12/20/2011,12/21/2011,-377.25,78,4713.21,20,52,12,4,2011,1 days 0 hrs 0 mins 
584,4004,Medium,0.1,4.84,0.71,3011,Tammy Raynor,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,East,Massachusetts,Boston,2113,5/6/2011,5/9/2011,8.66,20,90.74,6,19,5,2,2011,3 days 0 hrs 0 mins 
585,4004,Medium,0.05,34.58,8.99,3011,Tammy Raynor,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,0.56,East,Massachusetts,Boston,2113,5/6/2011,5/7/2011,195.48,64,2199.64,6,19,5,2,2011,1 days 0 hrs 0 mins 
622,4294,Medium,0.02,1.74,4.08,2382,Geoffrey Saunders,Regular Air,Small Business,Furniture,Office Furnishings,Small Pack,"Eldon Regeneration Recycled Desk Accessories, Smoke",0.53,East,New York,New York City,10024,8/14/2013,8/16/2013,-15.34,16,35.44,14,33,8,3,2013,2 days 0 hrs 0 mins 
653,4610,Low,0.09,8.33,1.99,2548,Wayne Bass,Regular Air,Small Business,Technology,Computer Peripherals,Small Pack,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",0.52,West,California,Los Angeles,90068,6/17/2011,6/19/2011,-17.01,12,100.32,17,25,6,2,2011,2 days 0 hrs 0 mins 
654,4610,Low,0.08,15.67,1.39,2548,Wayne Bass,Regular Air,Small Business,Office Supplies,Envelopes,Small Box,"#10 White Business Envelopes,4 1/8 x 9 1/2",0.38,West,California,Los Angeles,90068,6/17/2011,6/21/2011,203.01,44,678.72,17,25,6,2,2011,4 days 0 hrs 0 mins 
667,4674,Critical,0.02,130.98,30,667,Allison Kirby,Delivery Truck,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",0.78,Central,Texas,Dallas,75203,4/18/2013,4/19/2013,-260.41,23,3041.33,18,16,4,2,2013,1 days 0 hrs 0 mins 
682,4769,Not Specified,0.01,2.88,0.5,349,Kim Weiss,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 49,0.36,South,Florida,Miami,33132,4/13/2012,4/14/2012,32.5821,46,131.72,13,15,4,2,2012,1 days 0 hrs 0 mins 
683,4771,Critical,0.04,31.76,45.51,699,Jenny Gold,Delivery Truck,Consumer,Furniture,Tables,Jumbo Box,Hon iLevel™ Computer Training Table,0.65,West,California,Los Angeles,90041,12/13/2013,12/15/2013,-126.47,8,271.86,13,50,12,4,2013,2 days 0 hrs 0 mins 
694,4839,Critical,0.05,6.48,8.73,2882,Andrew Gonzalez,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 227,0.37,South,North Carolina,Charlotte,28206,5/9/2010,5/9/2010,-160.3847,35,232.5,9,20,5,2,2010,0 days 0 hrs 0 mins 
719,5153,Critical,0.04,128.24,12.65,1488,Anthony Goodwin,Express Air,Home Office,Furniture,Chairs & Chairmats,Medium Box,SAFCO Folding Chair Trolley,0.78,East,New York,New York City,10045,8/25/2012,8/27/2012,1467.82,73,9661.51,25,34,8,3,2012,2 days 0 hrs 0 mins 
725,5217,High,0.03,40.98,5.33,2107,Leigh Burnette Hurley,Express Air,Home Office,Office Supplies,Appliances,Small Box,Belkin 8 Outlet Surge Protector,0.57,Central,Illinois,Chicago,60601,10/12/2012,10/12/2012,22.304,16,678.7,12,41,10,4,2012,0 days 0 hrs 0 mins 
726,5217,High,0.09,3.08,0.99,2107,Leigh Burnette Hurley,Regular Air,Home Office,Office Supplies,Labels,Small Box,Avery 481,0.37,Central,Illinois,Chicago,60601,10/12/2012,10/14/2012,3.264,22,67.34,12,41,10,4,2012,2 days 0 hrs 0 mins 
741,5346,Critical,0.07,90.98,56.2,1959,Bonnie Matthews Rowland,Regular Air,Home Office,Furniture,Office Furnishings,Medium Box,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,0.74,South,Florida,Miami,33916,12/25/2011,12/26/2011,-1926.9439,63,5434.66,25,53,12,4,2011,1 days 0 hrs 0 mins 
742,5346,Critical,0.1,218.75,69.64,1959,Bonnie Matthews Rowland,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,0.77,South,Florida,Miami,33916,12/25/2011,12/27/2011,-2341.55943,83,16959.3,25,53,12,4,2011,2 days 0 hrs 0 mins 
743,5346,Critical,0.08,140.98,36.09,1959,Bonnie Matthews Rowland,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",0.77,South,Florida,Miami,33916,12/25/2011,12/27/2011,-606.214,31,4166.98,25,53,12,4,2011,2 days 0 hrs 0 mins 
757,5441,Not Specified,0.02,6.48,6.6,491,Toni Swanson,Regular Air,Consumer,Office Supplies,Paper,Small Box,Xerox 21,0.37,East,New York,New York City,10154,7/20/2013,7/22/2013,-92.05,48,320.23,20,29,7,3,2013,2 days 0 hrs 0 mins 
758,5441,Not Specified,0.04,17.15,4.96,491,Toni Swanson,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,Advantus Rolling Storage Box,0.58,East,New York,New York City,10154,7/20/2013,7/21/2013,6.11,22,383.52,20,29,7,3,2013,1 days 0 hrs 0 mins 
759,5444,Critical,0.08,449.99,24.49,1291,Maria Jackson,Regular Air,Small Business,Technology,Copiers and Fax,Large Box,Canon PC940 Copier,0.52,South,Florida,Miami,33180,3/17/2012,3/19/2012,-2692.02507,2,885.94,17,11,3,1,2012,2 days 0 hrs 0 mins 
767,5504,High,0.06,5.78,7.64,198,Leroy Blanchard,Express Air,Small Business,Office Supplies,Paper,Small Box,HP Office Recycled Paper (20Lb. and 87 Bright),0.36,Central,Michigan,Detroit,48138,1/5/2013,1/7/2013,-32.528,7,57.81,5,1,1,1,2013,2 days 0 hrs 0 mins 
